,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Periodontal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4670993664969137,0.0,0.2638224265055431,0.0,0.0,0.0,0.0,0.0,0.0,0.4419417382415922,0.0,0.5291194106685831,0.5189100481170218,0.0,0.0,0.0,0.6061032181989393,0.2606430175713434,0.0,0.4288450139351179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastric and duodenal ulcer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastro-oesophageal reflux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guttate psoriasis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diarrhea Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constipation Irritable bowel syndrome(IBS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obesity,0.0,0.4670993664969138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,0.4073565930967534,0.0,0.672520657209566,0.7073302226501609,0.0,0.0,0.0,0.5908391567007971,0.3084236772531935,0.0,0.6092860877672969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ileal Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacterial Vaginosis,0.0,0.2638224265055432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2581988897471611,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.2558408596267325,0.0,0.2604661305353116,0.2597781025734985,0.0,0.0,0.0,0.2860387767736777,0.5029556907695452,0.0,0.2262778643423326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infectious colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulcerative colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crohn's disease(CD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergic sensitization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopic dermatitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atopic sensitisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,0.0,0.4419417382415923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073565930967535,0.0,0.2558408596267325,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.5008947218608515,0.4873869225471059,0.0,0.0,0.0,0.5515634344499483,0.2359071298478353,0.0,0.3790490217894517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recurrent wheeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergy,0.0,0.5291194106685837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6725206572095669,0.0,0.2604661305353116,0.0,0.0,0.0,0.0,0.0,0.0,0.5008947218608515,0.0,1.0000000000000016,0.7239983497738325,0.0,0.0,0.0,0.6738419831400561,0.3062193315902585,0.0,0.5742217838601479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asthma,0.0,0.5189100481170222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073302226501608,0.0,0.2597781025734985,0.0,0.0,0.0,0.0,0.0,0.0,0.4873869225471059,0.0,0.7239983497738319,0.9999999999999994,0.0,0.0,0.0,0.6439906260034912,0.3593064063233032,0.0,0.6046152094618424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inflammatory bowel disease(IBD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cystic fibrosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psoriasis,0.0,0.6061032181989395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5908391567007975,0.0,0.2860387767736776,0.0,0.0,0.0,0.0,0.0,0.0,0.551563434449948,0.0,0.6738419831400558,0.6439906260034913,0.0,0.0,0.0,1.0000000000000009,0.2857315384715077,0.0,0.5424508028966483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Necrotizing Enterocolitis,0.0,0.2606430175713434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084236772531935,0.0,0.5029556907695452,0.0,0.0,0.0,0.0,0.0,0.0,0.2359071298478353,0.0,0.3062193315902585,0.3593064063233032,0.0,0.0,0.0,0.2857315384715077,1.0000000000000002,0.0,0.312971283806927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Systemic inflammatory response syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD,0.0,0.4288450139351179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092860877672969,0.0,0.2262778643423325,0.0,0.0,0.0,0.0,0.0,0.0,0.3790490217894517,0.0,0.5742217838601475,0.6046152094618422,0.0,0.0,0.0,0.5424508028966483,0.3129712838069271,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Type 2 diabetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Type 1 diabetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorectal carcinoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kidney stones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whipple's disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver cirrhosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allergic asthma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium difficile infection(CDI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin and mucosal infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New-onset untreated rheumatoid arthrits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
