,Ulcerative Colitis,Mouth Neoplasms,Crohn Disease,Irritable Bowel Syndrome,Celiac Disease,Colorectal Neoplasms,Atherosclerosis,Peripheral Arterial Disease,Diarrhea,Coronary Artery Disease,Pancreatic Neoplasms,Gastroesophageal Reflux,Laryngeal Neoplasms,Inflammatory Bowel Diseases,Breast Neoplasms,Parkinson Disease,Esophageal Neoplasms,Uterine Cervical Neoplasms,Thrombosis,Head and Neck Neoplasms,Liver Neoplasms,Amyotrophic Lateral Sclerosis,Endometrial Neoplasms,Lung Neoplasms,Rectal Neoplasms,Hypertension,Gastroenteritis,Prostatic Neoplasms,Coronary Heart Disease,Stomach Neoplasms,Alzheimer Disease,Tongue Neoplasms,Urinary Bladder Neoplasms,Thyroid Neoplasms,Ovarian Neoplasms,Pharyngeal Neoplasms,Biliary Tract Neoplasms,Acute Lymphoblastic Leukemia,Gallbladder Neoplasms
Head and Neck Neoplasms,0.6076053350458498,0.5658698866813385,0.5984410751528574,0.3429003429005142,0.5913545949112411,0.46893501195143594,0.3683003683005523,0.4949340131970672,0.22225022225033336,0.6295778146577587,0.5542213369427245,0.5575629037734557,0.5621703750837335,0.4501830701325194,0.5990970835647433,0.5960073631583055,0.5423999794857342,0.5421416843478288,0.5664828265819694,1.000000000000001,0.5939887041393646,0.6122908023640055,0.36830036830055224,0.698944613829303,0.4938671138895008,0.6091644496108554,0.46078787899320656,0.574903497072997,0.6398247613419407,0.5952242962289209,0.5127705704725921,0.5354795526016657,0.5265147119838948,0.6518470781173197,0.6448263209146644,0.6272721446009695,0.28842997520061514,0.08980265101338746,0.3986135518663073
Liver Neoplasms,0.6485931520784642,0.47633051162246653,0.6210590034081193,0.30735042819928793,0.6044504143545616,0.5943437278215399,0.42761798705987886,0.5593496436125833,0.26726124191242434,0.6702406628676915,0.6676718612355285,0.5511165542644529,0.5460189062319478,0.48761843600343346,0.7020086124500354,0.5444263733397219,0.613790951461876,0.6223048602337669,0.6812092344448962,0.5939887041393647,1.0000000000000009,0.4466852862836321,0.5211594217292272,0.6864064729836447,0.611354359454417,0.6603913235356805,0.5771963706745125,0.6815981765909975,0.6812437238648458,0.7393820631791731,0.46460525323088997,0.4225771273642581,0.5640760748177662,0.6270894413356966,0.7306834506711828,0.4920157447557521,0.41187723552395683,0.0944911182523068,0.5126300569509897
Amyotrophic Lateral Sclerosis,0.4813759680664515,0.4328138441541119,0.5145272509897012,0.29569919940528344,0.5644325210301581,0.3991901941197505,0.3214121732666124,0.4731968821285684,0.19284730395996746,0.5398599919695201,0.4553447517817752,0.5045684657693837,0.4924875808054192,0.29488391230979416,0.5375604309014039,0.6961738230581328,0.4662023582439732,0.42907847086878936,0.5287769668804715,0.612290802364005,0.446685286283632,0.9999999999999996,0.26998622554395446,0.633431234237668,0.4313310928137535,0.5606089444043438,0.3887209593155165,0.450834817333716,0.5243349747112546,0.4853938894372976,0.6056030290938553,0.4065578140908707,0.4167104910586929,0.5844636824844213,0.5523447707389938,0.5195459740916882,0.2085597580641471,0.0,0.2839618871637989
Endometrial Neoplasms,0.48536267169707553,0.3564531154716027,0.46475800154489005,0.44,0.4656330736664176,0.6042105779736162,0.38,0.44744645862196014,0.29999999999999993,0.4665694748158434,0.4933153149862672,0.4124178652473985,0.3405026123034994,0.4587317109255646,0.48245064067700766,0.35068322372798993,0.46737731913472075,0.5588283785085597,0.4402561792362542,0.3683003683005526,0.5211594217292276,0.2699862255439545,0.9999999999999998,0.46124532815764396,0.4422458539645537,0.42636139313812815,0.43193421279068017,0.5100613704506707,0.46781291224517235,0.4947178617271307,0.3813250647825902,0.3373096170846271,0.48241815132442184,0.4546060565661953,0.5207556439232954,0.3053290134455173,0.4866642633922874,0.1414213562373095,0.46499055497527714
Lung Neoplasms,0.6614378277661463,0.4774600614931587,0.7037315505489956,0.35641684448545213,0.6554701788066875,0.5806027214869999,0.4507624797904246,0.6052275326688018,0.1834498464263357,0.7397602799117197,0.6895132858970667,0.6206047437637787,0.4997212154787443,0.44809412191267317,0.7754767263356708,0.7136073467991041,0.5913123959890817,0.6020838520626528,0.6983433664624544,0.6989446138293013,0.686406472983643,0.6334312342376676,0.4612453281576438,0.9999999999999984,0.5994822708804008,0.772001407674209,0.5524039045904632,0.6616783805457849,0.7418889681392501,0.6891990595172124,0.6407553511297283,0.4530455884900602,0.5847290756479371,0.6764029669139577,0.709670318710793,0.5365909169221558,0.32310308632943197,0.07412493166611012,0.42651222949955586
Rectal Neoplasms,0.5921369082129385,0.498287079583537,0.561093202057687,0.3507467117649905,0.5173467542455651,0.5886802039940839,0.365996568798251,0.4952536348081632,0.1906232129157558,0.533633834026877,0.569046530161086,0.46662648422149006,0.4543539137445069,0.4769722505616697,0.6458077337537923,0.4875998229419317,0.5529908247977354,0.5681368585589529,0.547708309295351,0.49386711388950066,0.6113543594544163,0.43133109281375337,0.44224585396455324,0.5994822708804013,0.9999999999999992,0.5541434906129157,0.48743318946955105,0.57365426959517,0.5396291304782997,0.6353159295274997,0.44468814926313327,0.4340185399533707,0.5977406368332133,0.5143599338356201,0.6452427409263669,0.4108432767485823,0.4700321611955285,0.10783277320343841,0.531827961389206
Hypertension,0.6248510114943789,0.40297156375238236,0.6442535198266884,0.42636139313812793,0.6187884653909689,0.5448234934606324,0.46512151978704863,0.5524610608786534,0.19380063324460367,0.7798850896702471,0.6741365543394854,0.6058970390286568,0.4784247586724845,0.4142048112201077,0.7739659283998818,0.6996153173341241,0.5387830524535093,0.5715901608250733,0.724113716844265,0.6091644496108551,0.6603913235356802,0.560608944404344,0.42636139313812793,0.7720014076742111,0.5541434906129157,1.000000000000001,0.5106256561489433,0.648704546351862,0.7613320167268133,0.6559980281272345,0.6520679914138717,0.3779250380388021,0.5770267589073242,0.575511151031308,0.6749210481693664,0.49600860305300093,0.28294752726883166,0.06851887098275317,0.38299072202961554
Gastroenteritis,0.5989849814784498,0.3592500235986949,0.5799296577691113,0.36282473874417126,0.6091149326594661,0.5074595951382913,0.3109926332092897,0.4488792012484347,0.25916052767440806,0.5340473948643669,0.5572855320023158,0.5056803214531419,0.42651671061559815,0.5223741538892643,0.5371752171594925,0.45441624653954144,0.5290550115747316,0.496164030165495,0.5604766077610557,0.4607878789932066,0.5771963706745122,0.3887209593155165,0.43193421279067995,0.5524039045904635,0.48743318946955116,0.5106256561489432,0.9999999999999994,0.49570415217122793,0.5388384052904904,0.6073168836086429,0.34879201766306056,0.3278150188248919,0.5730254871776852,0.48139848700427107,0.5510838388300648,0.35685730382224984,0.4204138910034079,0.12216944435630522,0.5422823891595389
Prostatic Neoplasms,0.6100702755324005,0.5050360127190467,0.6584863977663923,0.4080490963605365,0.6022358036208214,0.59924759113725,0.4208006306218033,0.5613602575471364,0.19127301391900145,0.5949476643375461,0.6048583789091333,0.5004494706144857,0.4884672067693771,0.42542059117068054,0.7245672251556369,0.6115774562152366,0.5343249149828289,0.6136208212675597,0.6352618299747791,0.574903497072996,0.681598176590996,0.4508348173337161,0.5100613704506707,0.6616783805457849,0.5736542695951701,0.6487045463518608,0.4957041521712282,0.9999999999999987,0.5965332378357291,0.6640433435235931,0.5649057215178561,0.3897976219636641,0.6439926502911132,0.5890423491258748,0.6723438853176379,0.4580486324599171,0.33097152151364845,0.09016696346674323,0.4595240819522838
Coronary Heart Disease,0.6903256692366886,0.42757274366060316,0.6658868340636984,0.4198321007328471,0.5984317698614215,0.5737705867235413,0.5157937237574979,0.588661856904777,0.1799280431712201,0.9724084693648625,0.6524331879573576,0.6064108601262408,0.520760734174887,0.4752228129275851,0.7073114049932361,0.6124193015310667,0.5992926161126791,0.6051553962855015,0.6601202735334758,0.6398247613419393,0.6812437238648446,0.5243349747112547,0.4678129122451725,0.7418889681392501,0.5396291304783,0.7613320167268118,0.538838405290491,0.5965332378357294,0.9999999999999987,0.6402733838734956,0.5583057878071592,0.40460972896580366,0.5425034622380047,0.5804904257349325,0.6480815958719529,0.53860050894756,0.3307994057978086,0.08481889296799709,0.4601566235739072
Stomach Neoplasms,0.6499423302067077,0.4898436752557923,0.6722926454528148,0.41660451513863633,0.6668228905501313,0.6118118000515054,0.37754784184438916,0.5355477949520155,0.22783059421644175,0.6302000326653849,0.7245805332415046,0.5802225151540101,0.49870872317158044,0.5022058930630602,0.7258012494690008,0.5908302787768329,0.6609280490177644,0.6264863885331889,0.5957896486395214,0.5952242962289209,0.7393820631791728,0.4853938894372978,0.49471786172713056,0.689199059517214,0.6353159295275,0.6559980281272347,0.6073168836086431,0.6640433435235943,0.6402733838734966,1.000000000000001,0.5183448439522594,0.3979703686364322,0.6378682959828235,0.6204844166010622,0.737288135593221,0.4676523735449555,0.4012691729407362,0.09205746178983235,0.529695372225252
Alzheimer Disease,0.4821436570643773,0.32204335891550556,0.5212466913156837,0.37010962170074946,0.5222281234728334,0.43294237492864857,0.39254050786443123,0.5099250777375642,0.2243088616368177,0.5886881312086675,0.5390884456202509,0.529688525236731,0.3818887667508034,0.32740141596407374,0.607222964145973,0.7519100082530982,0.47899606411454976,0.47876796242001457,0.506760675438066,0.5127705704725926,0.4646052532308904,0.6056030290938561,0.38132506478259043,0.6407553511297291,0.4446881492631339,0.6520679914138722,0.34879201766306106,0.5649057215178569,0.5583057878071597,0.5183448439522598,1.0000000000000007,0.3664855661014864,0.49878354023708077,0.5016372733496396,0.5475473703721053,0.3625835475740647,0.23652006499516298,0.07930515857181442,0.2998668184178327
Tongue Neoplasms,0.380058475033046,0.5427277189404628,0.38103173776627214,0.25298221281347033,0.4207031619116713,0.442287410361896,0.27406406388125953,0.36514837167011077,0.21081851067789195,0.3934459272337694,0.4533333333333334,0.4207031619116713,0.44865158504847125,0.3736489349242793,0.41813916056616657,0.4022689783829563,0.4416942325792754,0.4581553140955616,0.3297344874512903,0.5354795526016662,0.42257712736425834,0.4065578140908709,0.33730961708462714,0.4530455884900608,0.43401853995337086,0.37792503803880245,0.32781501882489184,0.38979762196366413,0.4046097289658036,0.39797036863643215,0.36648556610148614,1.0000000000000007,0.36549399254414366,0.4637388957601683,0.4391397171160632,0.5300977119639272,0.3077935056255462,0.14907119849998599,0.3431001569771103
Urinary Bladder Neoplasms,0.6167284823802287,0.41795700381857215,0.5936054449231606,0.33166247903553986,0.6117152072416666,0.5566499393061826,0.3768891807222044,0.511353114369862,0.2638224265055431,0.5451194600513299,0.5911468053322667,0.47132155312062846,0.35932890163754155,0.518673056106093,0.6303454792393544,0.5053509610265369,0.5466707220935948,0.6318491092212266,0.5763807466429378,0.5265147119838944,0.5640760748177656,0.4167104910586928,0.4824181513244214,0.5847290756479372,0.5977406368332131,0.577026758907324,0.5730254871776851,0.643992650291113,0.5425034622380042,0.6378682959828228,0.4987835402370799,0.3654939925441436,0.999999999999999,0.5195352837353232,0.6673083711820299,0.4332242888591055,0.3668369910333888,0.10660035817780521,0.5082247369937662
Thyroid Neoplasms,0.5694162843474592,0.5082079821805372,0.6342240482425558,0.32262365304697727,0.6047989012179622,0.5291731582478129,0.39594721055765386,0.5503338836674921,0.2932942300427066,0.5815790732295569,0.5935857865730155,0.5365151543062566,0.5867212775806245,0.39751448440389303,0.6288888408487713,0.5596433155016494,0.5672237418829332,0.569101177085702,0.5606725927172571,0.6518470781173198,0.6270894413356966,0.5844636824844216,0.45460605656619507,0.6764029669139592,0.5143599338356203,0.5755111510313085,0.48139848700427107,0.5890423491258753,0.5804904257349329,0.6204844166010623,0.5016372733496393,0.4637388957601682,0.5195352837353234,1.0000000000000007,0.6204844166010623,0.5794491864648376,0.3092609442453743,0.10369516947304253,0.40913714039581417
Ovarian Neoplasms,0.6499423302067077,0.4898436752557923,0.6470816712483343,0.4035856240405539,0.6754829280897435,0.6336622214819162,0.41660451513863633,0.6107123977522986,0.2603778219616477,0.6529783470990735,0.6916450544577999,0.5542424025351739,0.50979113924206,0.5157790253080078,0.7188223913010297,0.5975442592174787,0.5665097563009409,0.7073233418923102,0.6485811364936563,0.6448263209146644,0.7306834506711826,0.552344770738994,0.5207556439232953,0.7096703187107947,0.6452427409263674,0.6749210481693665,0.5510838388300648,0.6723438853176392,0.648081595871954,0.737288135593221,0.5475473703721052,0.43913971711606303,0.6673083711820308,0.6204844166010621,1.000000000000001,0.47934368288357937,0.3801497427859606,0.09205746178983235,0.514561218733102
Pharyngeal Neoplasms,0.48568209435205023,0.5868579700744027,0.4753323681541727,0.2873684832428399,0.4420451780988517,0.39187569541150186,0.3412500738508724,0.36293309315564903,0.22450662753346862,0.5237396965048334,0.4430102307127108,0.47788667902578563,0.6421387824985967,0.3370526488229123,0.471764884284272,0.4816466835729725,0.4486632381850573,0.4600224736394961,0.5202127897426408,0.6272721446009699,0.49201574475575255,0.5195459740916887,0.30532901344551744,0.5365909169221565,0.41084327674858273,0.49600860305300143,0.35685730382224995,0.45804863245991734,0.53860050894756,0.4676523735449559,0.3625835475740646,0.5300977119639274,0.433224288859106,0.5794491864648381,0.4793436828835798,1.0000000000000004,0.26222244603662925,0.1270001270001905,0.29230169173076326
Biliary Tract Neoplasms,0.35993701653267796,0.35337091141177945,0.33508312663335627,0.35688712648767756,0.36688748625887757,0.4628528545997304,0.2595542738092201,0.28097574347450816,0.24333213169614373,0.3216721438586534,0.38987177379235843,0.2805610189038476,0.3038024971663591,0.43973155946962983,0.33044727612563324,0.23424606849358906,0.36602088993120135,0.45326966864929097,0.3195059768353111,0.28842997520061514,0.41187723552395683,0.20855975806414706,0.48666426339228747,0.3231030863294319,0.4700321611955286,0.2829475272688317,0.4204138910034077,0.3309715215136484,0.3307994057978085,0.401269172940736,0.23652006499516293,0.30779350562554625,0.36683699103338874,0.30926094424537415,0.3801497427859604,0.26222244603662925,0.9999999999999996,0.22941573387056174,0.6034514291237711
Acute Lymphoblastic Leukemia,0.09805806756909202,0.14002800840280097,0.09128709291752768,0.0,0.09407208683835973,0.11867816581938533,0.1414213562373095,0.10206207261596577,0.35355339059327373,0.08247860988423225,0.08944271909999159,0.09407208683835973,0.1203858530857692,0.14744195615489714,0.07580980435789034,0.07293249574894728,0.11396057645963795,0.10976425998969035,0.08192319205190406,0.08980265101338746,0.0944911182523068,0.0,0.1414213562373095,0.07412493166611012,0.10783277320343841,0.06851887098275317,0.12216944435630522,0.09016696346674323,0.08481889296799709,0.09205746178983235,0.07930515857181442,0.14907119849998599,0.10660035817780521,0.10369516947304253,0.09205746178983235,0.1270001270001905,0.22941573387056174,1.0,0.1643989873053573
Gallbladder Neoplasms,0.5158607041753288,0.3683274044129046,0.48024018015013137,0.39524197172898556,0.49489138591769505,0.48776425689910546,0.2789943329851663,0.3691358303677134,0.23249527748763854,0.46101959793692815,0.48524165058191315,0.41756460686805513,0.3958262466638396,0.5332647821200915,0.4362069272489052,0.34771082484059707,0.44964008070478123,0.46917346280030303,0.417510784114815,0.3986135518663075,0.51263005695099,0.28396188716379894,0.46499055497527714,0.426512229499556,0.5318279613892063,0.38299072202961576,0.542282389159539,0.45952408195228384,0.4601566235739071,0.5296953722252521,0.2998668184178325,0.3431001569771103,0.5082247369937667,0.40913714039581417,0.5145612187331021,0.29230169173076315,0.6034514291237714,0.1643989873053573,1.0000000000000007
